,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,2.0,105,0,12,7,0,1,0,0,0,0
1,3,69,34,9,4.0,1.0,95,0,7,4,7,5,-2,-1,-1,-1
2,6,74,37,2,7.0,2.0,95,0,12,7,0,1,5,3,1,0
3,8,74,37,2,10.0,3.0,95,0,12,7,0,1,5,3,0,0
4,9,76,38,4,13.0,2.0,105,1,14,8,2,2,2,1,1,1
5,11,79,40,7,16.0,2.0,95,1,17,10,5,4,1,1,1,2
6,13,78,39,6,19.0,1.0,95,1,16,9,4,3,2,1,-1,1
7,16,71,35,11,22.0,2.0,95,1,9,5,9,6,-3,-2,-1,0
8,18,74,37,2,25.0,2.0,105,2,12,7,0,1,5,3,1,1
9,20,69,34,9,28.0,1.0,95,2,7,4,7,5,-2,-1,-1,0
10,23,74,37,2,31.0,2.0,95,2,12,7,0,1,5,3,1,1
11,25,74,37,2,34.0,2.0,95,2,12,7,0,1,5,3,0,1
12,27,78,39,6,37.0,1.0,105,3,16,9,4,3,2,1,1,2
13,30,81,41,9,40.0,1.0,95,3,19,11,7,5,3,2,1,3
14,33,76,38,4,43.0,3.0,95,3,14,8,2,2,2,1,-1,2
15,34,74,37,2,46.0,2.0,95,3,12,7,0,1,-2,-1,-1,1
16,36,74,37,2,49.0,2.0,105,4,12,7,0,1,1,1,0,1
17,38,69,34,9,52.0,1.0,95,4,7,4,7,5,-2,-1,-1,0
18,41,74,37,2,55.0,2.0,95,4,12,7,0,1,5,3,1,1
19,43,74,37,2,58.0,3.0,95,4,12,7,0,1,5,3,0,1
20,44,76,38,4,61.0,2.0,105,5,14,8,2,2,2,1,1,2
21,46,79,40,7,64.0,2.0,95,5,17,10,5,4,1,1,1,3
22,48,78,39,6,67.0,1.0,95,5,16,9,4,3,2,1,-1,2
23,51,71,35,11,70.0,2.0,95,5,9,5,9,6,-3,-2,-1,1
24,53,74,37,2,73.0,2.0,105,6,12,7,0,1,5,3,1,2
25,55,69,34,9,76.0,1.0,95,6,7,4,7,5,-2,-1,-1,1
26,58,74,37,2,79.0,2.0,95,6,12,7,0,1,5,3,1,2
27,60,74,37,2,82.0,2.0,95,6,12,7,0,1,5,3,0,2
28,62,78,39,6,85.0,1.0,105,7,16,9,4,3,2,1,1,3
29,65,81,41,9,88.0,1.0,95,7,19,11,7,5,3,2,1,4
30,68,76,38,4,91.0,3.0,95,7,14,8,2,2,2,1,-1,3
31,69,74,37,2,94.0,2.0,95,7,12,7,0,1,-2,-1,-1,2
32,72,79,40,7,97.0,3.0,105,8,17,10,5,4,1,1,1,3
33,73,83,42,11,100.0,1.0,95,8,21,12,9,6,4,2,1,4
34,76,78,39,6,103.0,3.0,95,8,16,9,4,3,2,1,-1,3
35,77,81,41,9,106.0,1.0,95,8,19,11,7,5,3,2,1,4
36,80,76,38,4,109.0,2.0,105,9,14,8,2,2,2,1,-1,3
37,82,79,40,7,112.0,2.0,95,9,17,10,5,4,1,1,1,4
38,84,78,39,6,115.0,1.0,95,9,16,9,4,3,2,1,-1,3
39,87,71,35,11,118.0,2.0,95,9,9,5,9,6,-3,-2,-1,2
40,89,74,37,2,121.0,2.0,105,10,12,7,0,1,5,3,1,3
41,91,69,34,9,124.0,1.0,95,10,7,4,7,5,-2,-1,-1,2
42,94,74,37,2,127.0,2.0,95,10,12,7,0,1,5,3,1,3
43,96,74,37,2,130.0,2.0,95,10,12,7,0,1,5,3,0,3
44,98,78,39,6,133.0,1.0,105,11,16,9,4,3,2,1,1,4
45,101,81,41,9,136.0,1.0,95,11,19,11,7,5,3,2,1,5
46,104,76,38,4,139.0,3.0,95,11,14,8,2,2,2,1,-1,4
47,105,74,37,2,142.0,2.0,95,11,12,7,0,1,-2,-1,-1,3
48,108,79,40,7,145.0,3.0,105,12,17,10,5,4,1,1,1,4
49,109,83,42,11,148.0,1.0,95,12,21,12,9,6,4,2,1,5
50,112,78,39,6,151.0,3.0,95,12,16,9,4,3,2,1,-1,4
51,113,81,41,9,154.0,1.0,95,12,19,11,7,5,3,2,1,5
52,116,76,38,4,157.0,2.0,105,13,14,8,2,2,2,1,-1,4
53,118,79,40,7,160.0,2.0,95,13,17,10,5,4,1,1,1,5
54,120,78,39,6,163.0,1.0,95,13,16,9,4,3,2,1,-1,4
55,123,71,35,11,166.0,2.0,95,13,9,5,9,6,-3,-2,-1,3
56,125,74,37,2,169.0,2.0,105,14,12,7,0,1,5,3,1,4
57,127,69,34,9,172.0,1.0,95,14,7,4,7,5,-2,-1,-1,3
58,130,74,37,2,175.0,2.0,95,14,12,7,0,1,5,3,1,4
59,132,74,37,2,178.0,2.0,95,14,12,7,0,1,5,3,0,4
60,134,78,39,6,181.0,1.0,105,15,16,9,4,3,2,1,1,5
61,137,81,41,9,184.0,1.0,95,15,19,11,7,5,3,2,1,6
62,140,76,38,4,187.0,3.0,95,15,14,8,2,2,2,1,-1,5
63,141,74,37,2,190.0,2.0,95,15,12,7,0,1,-2,-1,-1,4
