,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,4,69,34,9,4.0,2.0,95,0,2,1,2,2,-2,-1,1,1
2,7,74,37,2,8.0,1.0,105,1,7,4,7,5,5,3,1,2
3,11,67,33,7,12.0,1.0,95,1,0,0,0,1,-2,-1,-1,1
4,15,62,30,2,16.0,1.0,105,2,-5,-3,7,5,-2,-1,-1,0
5,19,69,34,9,20.0,2.0,95,2,2,1,2,2,-2,-1,1,1
6,22,67,33,7,24.0,1.0,105,3,0,0,0,1,-2,-1,-1,0
7,26,64,31,4,28.0,1.0,95,3,-3,-2,9,6,-3,-2,-1,-1
8,30,62,30,2,32.0,1.0,105,4,-5,-3,7,5,-2,-1,-1,-2
9,34,69,34,9,36.0,2.0,95,4,2,1,2,2,-2,-1,1,-1
10,37,74,37,2,40.0,1.0,105,5,7,4,7,5,5,3,1,0
11,41,67,33,7,44.0,3.0,95,5,0,0,0,1,-2,-1,-1,-1
12,43,71,35,11,48.0,1.0,105,6,4,2,4,3,-1,-1,1,0
13,46,71,35,11,52.0,1.0,95,6,4,2,4,3,2,1,0,0
14,50,72,36,0,56.0,1.0,105,7,5,3,5,4,0,0,1,1
15,54,67,33,7,60.0,1.0,95,7,0,0,0,1,-2,-1,-1,0
16,58,62,30,2,64.0,1.0,105,8,-5,-3,7,5,-2,-1,-1,-1
17,62,69,34,9,68.0,2.0,95,8,2,1,2,2,-2,-1,1,0
18,65,74,37,2,72.0,1.0,105,9,7,4,7,5,5,3,1,1
19,69,67,33,7,76.0,1.0,95,9,0,0,0,1,-2,-1,-1,0
20,73,62,30,2,80.0,1.0,105,10,-5,-3,7,5,-2,-1,-1,-1
21,77,69,34,9,84.0,2.0,95,10,2,1,2,2,-2,-1,1,0
22,80,67,33,7,88.0,1.0,105,11,0,0,0,1,-2,-1,-1,-1
23,84,64,31,4,92.0,1.0,95,11,-3,-2,9,6,-3,-2,-1,-2
24,88,62,30,2,96.0,1.0,105,12,-5,-3,7,5,-2,-1,-1,-3
25,92,69,34,9,100.0,2.0,95,12,2,1,2,2,-2,-1,1,-2
26,95,74,37,2,104.0,1.0,105,13,7,4,7,5,5,3,1,-1
27,99,67,33,7,108.0,3.0,95,13,0,0,0,1,-2,-1,-1,-2
28,101,71,35,11,112.0,1.0,105,14,4,2,4,3,-1,-1,1,-1
29,104,71,35,11,116.0,1.0,95,14,4,2,4,3,2,1,0,-1
30,108,72,36,0,120.0,1.0,105,15,5,3,5,4,0,0,1,0
31,112,67,33,7,124.0,1.0,95,15,0,0,0,1,-2,-1,-1,-1
32,116,64,31,4,128.0,1.0,105,16,-3,-2,9,6,0,0,-1,-2
33,120,74,37,2,132.0,1.0,95,16,7,4,7,5,5,3,1,-1
34,124,67,33,7,136.0,1.0,105,17,0,0,0,1,1,1,-1,-2
35,128,67,33,7,140.0,1.0,95,17,0,0,0,1,1,1,0,-2
36,132,62,30,2,144.0,1.0,105,18,-5,-3,7,5,-4,-2,-1,-3
37,136,74,37,2,148.0,1.0,95,18,7,4,7,5,2,1,1,-2
38,140,66,32,6,152.0,1.0,105,19,-1,-1,11,7,-1,-1,-1,-3
39,144,72,36,0,156.0,1.0,95,19,5,3,5,4,1,1,1,-2
40,148,64,31,4,160.0,1.0,105,20,-3,-2,9,6,-3,-2,-1,-3
41,152,74,37,2,164.0,1.0,95,20,7,4,7,5,5,3,1,-2
42,156,67,33,7,168.0,1.0,105,21,0,0,0,1,1,1,-1,-3
43,160,67,33,7,172.0,1.0,95,21,0,0,0,1,1,1,0,-3
44,164,62,30,2,176.0,2.0,105,22,-5,-3,7,5,-4,-2,-1,-4
45,168,71,35,11,180.0,1.0,95,22,4,2,4,3,9,5,1,-3
46,172,74,37,2,184.0,1.0,105,23,7,4,7,5,5,3,1,-2
47,176,71,35,11,188.0,2.0,95,23,4,2,4,3,2,1,-1,-3
48,179,64,31,4,192.0,1.0,105,24,-3,-2,9,6,-2,-1,-1,-4
49,183,74,37,2,196.0,1.0,95,24,7,4,7,5,5,3,1,-3
50,187,67,33,7,200.0,1.0,105,25,0,0,0,1,1,1,-1,-4
51,191,67,33,7,204.0,1.0,95,25,0,0,0,1,1,1,0,-4
52,195,62,30,2,208.0,1.0,105,26,-5,-3,7,5,-4,-2,-1,-5
53,199,74,37,2,212.0,1.0,95,26,7,4,7,5,2,1,1,-4
54,203,66,32,6,216.0,1.0,105,27,-1,-1,11,7,-1,-1,-1,-5
55,207,72,36,0,220.0,1.0,95,27,5,3,5,4,1,1,1,-4
56,211,64,31,4,224.0,1.0,105,28,-3,-2,9,6,-3,-2,-1,-5
57,215,74,37,2,228.0,1.0,95,28,7,4,7,5,5,3,1,-4
58,219,67,33,7,232.0,1.0,105,29,0,0,0,1,1,1,-1,-5
59,223,67,33,7,236.0,1.0,95,29,0,0,0,1,1,1,0,-5
60,227,62,30,2,240.0,2.0,105,30,-5,-3,7,5,-4,-2,-1,-6
61,231,71,35,11,244.0,1.0,95,30,4,2,4,3,9,5,1,-5
62,235,71,35,11,248.0,1.0,105,31,4,2,4,3,2,1,0,-5
63,239,64,31,4,252.0,2.0,95,31,-3,-2,9,6,-2,-1,-1,-6
