,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,79,40,7,2.0,1.0,105,0,12,7,0,1,0,0,0,0
1,5,69,34,9,5.0,3.0,95,0,2,1,2,2,-2,-1,-1,-1
2,6,67,33,7,8.0,1.0,95,0,0,0,0,1,-2,-1,-1,-2
3,9,67,33,7,11.0,2.0,95,0,0,0,0,1,5,3,0,-2
4,11,71,35,11,14.0,1.0,105,1,4,2,4,3,2,1,1,-1
5,14,76,38,4,17.0,1.0,95,1,9,5,9,6,5,3,1,0
6,17,79,40,7,20.0,1.0,95,1,12,7,0,1,8,5,1,1
7,20,69,34,9,23.0,1.0,95,1,2,1,2,2,-2,-1,-1,0
8,23,79,40,7,26.0,1.0,105,2,12,7,0,1,5,3,1,1
9,26,69,34,9,29.0,3.0,95,2,2,1,2,2,-2,-1,-1,0
10,27,67,33,7,32.0,1.0,95,2,0,0,0,1,-2,-1,-1,-1
11,30,67,33,7,35.0,2.0,95,2,0,0,0,1,5,3,0,-1
12,32,71,35,11,38.0,3.0,105,3,4,2,4,3,2,1,1,0
13,33,76,38,4,41.0,1.0,95,3,9,5,9,6,5,3,1,1
14,36,69,34,9,44.0,1.0,95,3,2,1,2,2,-2,-1,-1,0
15,39,67,33,7,47.0,1.0,95,3,0,0,0,1,1,1,-1,-1
16,42,79,40,7,50.0,1.0,105,4,12,7,0,1,-2,-1,1,0
17,45,69,34,9,53.0,3.0,95,4,2,1,2,2,-2,-1,-1,-1
18,46,67,33,7,56.0,1.0,95,4,0,0,0,1,-2,-1,-1,-2
19,49,67,33,7,59.0,2.0,95,4,0,0,0,1,5,3,0,-2
20,51,71,35,11,62.0,1.0,105,5,4,2,4,3,2,1,1,-1
21,54,76,38,4,65.0,1.0,95,5,9,5,9,6,5,3,1,0
22,57,79,40,7,68.0,1.0,95,5,12,7,0,1,8,5,1,1
23,60,69,34,9,71.0,1.0,95,5,2,1,2,2,-2,-1,-1,0
24,63,79,40,7,74.0,1.0,105,6,12,7,0,1,5,3,1,1
25,66,69,34,9,77.0,3.0,95,6,2,1,2,2,-2,-1,-1,0
26,67,67,33,7,80.0,1.0,95,6,0,0,0,1,-2,-1,-1,-1
27,70,67,33,7,83.0,2.0,95,6,0,0,0,1,5,3,0,-1
28,72,71,35,11,86.0,3.0,105,7,4,2,4,3,2,1,1,0
29,73,76,38,4,89.0,1.0,95,7,9,5,9,6,5,3,1,1
30,76,69,34,9,92.0,1.0,95,7,2,1,2,2,-2,-1,-1,0
31,79,67,33,7,95.0,3.0,95,7,0,0,0,1,1,1,-1,-1
32,80,79,40,7,98.0,3.0,105,8,12,7,0,1,12,7,1,0
33,81,83,42,11,101.0,3.0,95,8,16,9,4,3,4,2,1,1
34,82,74,37,2,104.0,1.0,95,8,7,4,7,5,-9,-5,-1,0
35,85,79,40,7,107.0,1.0,95,8,12,7,0,1,-2,-1,1,1
36,87,74,37,2,109.0,2.0,105,9,7,4,7,5,-2,-1,-1,0
37,89,67,33,7,112.0,1.0,95,9,0,0,0,1,-4,-2,-1,-1
38,92,76,38,4,115.0,1.0,95,9,9,5,9,6,2,1,1,0
39,95,69,34,9,118.0,1.0,95,9,2,1,2,2,-2,-1,-1,-1
40,98,79,40,7,121.0,1.0,105,10,12,7,0,1,5,3,1,0
41,101,83,42,11,124.0,1.0,95,10,16,9,4,3,4,2,1,1
42,104,74,37,2,127.0,1.0,95,10,7,4,7,5,-9,-5,-1,0
43,107,79,40,7,130.0,1.0,95,10,12,7,0,1,-2,-1,1,1
44,109,74,37,2,132.0,2.0,105,11,7,4,7,5,-2,-1,-1,0
45,111,67,33,7,135.0,1.0,95,11,0,0,0,1,-4,-2,-1,-1
46,114,76,38,4,138.0,1.0,95,11,9,5,9,6,2,1,1,0
47,117,79,40,7,141.0,3.0,95,11,12,7,0,1,1,1,1,1
48,118,79,40,7,144.0,3.0,105,12,12,7,0,1,0,0,0,1
49,119,83,42,11,147.0,3.0,95,12,16,9,4,3,4,2,1,2
50,120,74,37,2,150.0,1.0,95,12,7,4,7,5,-9,-5,-1,1
51,123,79,40,7,153.0,1.0,95,12,12,7,0,1,-2,-1,1,2
52,125,74,37,2,155.0,2.0,105,13,7,4,7,5,-2,-1,-1,1
53,127,67,33,7,158.0,1.0,95,13,0,0,0,1,-4,-2,-1,0
54,130,76,38,4,161.0,1.0,95,13,9,5,9,6,2,1,1,1
55,133,69,34,9,164.0,1.0,95,13,2,1,2,2,-2,-1,-1,0
56,136,79,40,7,167.0,1.0,105,14,12,7,0,1,5,3,1,1
57,139,83,42,11,170.0,1.0,95,14,16,9,4,3,4,2,1,2
58,142,74,37,2,173.0,1.0,95,14,7,4,7,5,-9,-5,-1,1
59,145,79,40,7,176.0,1.0,95,14,12,7,0,1,-2,-1,1,2
60,147,74,37,2,178.0,2.0,105,15,7,4,7,5,-2,-1,-1,1
61,149,67,33,7,181.0,1.0,95,15,0,0,0,1,-4,-2,-1,0
62,152,76,38,4,184.0,0.5,95,15,9,5,9,6,2,1,1,1
63,156,79,40,7,187.0,1.0,95,15,12,7,0,1,1,1,1,2
