,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,0.5,105,0,0,0,0,1,0,0,0,0
1,8,79,40,7,4.0,1.0,95,0,12,7,0,1,5,3,1,1
2,13,76,38,4,8.0,1.0,105,1,9,5,9,6,2,1,-1,0
3,17,72,36,0,12.0,0.5,95,1,5,3,5,4,10,6,-1,-1
4,25,67,33,7,16.0,0.5,105,2,0,0,0,1,1,1,-1,-2
5,33,79,40,7,20.0,1.0,95,2,12,7,0,1,5,3,1,-1
6,38,78,39,6,24.0,1.0,105,3,11,6,11,7,4,2,-1,-2
7,43,74,37,2,28.0,4.0,95,3,7,4,7,5,1,1,-1,-3
8,44,67,33,7,32.0,0.5,105,4,0,0,0,1,-7,-4,-1,-4
9,52,79,40,7,36.0,1.0,95,4,12,7,0,1,5,3,1,-3
10,57,76,38,4,40.0,1.0,105,5,9,5,9,6,2,1,-1,-4
11,61,72,36,0,44.0,0.5,95,5,5,3,5,4,10,6,-1,-5
12,69,67,33,7,48.0,0.5,105,6,0,0,0,1,1,1,-1,-6
13,77,79,40,7,52.0,1.0,95,6,12,7,0,1,5,3,1,-5
14,82,78,39,6,56.0,1.0,105,7,11,6,11,7,4,2,-1,-6
15,87,74,37,2,60.0,4.0,95,7,7,4,7,5,1,1,-1,-7
16,88,83,42,11,64.0,0.5,105,8,16,9,4,3,9,5,1,-6
17,96,78,39,6,68.0,0.5,95,8,11,6,11,7,-1,-1,-1,-7
18,103,76,38,4,72.0,1.0,105,9,9,5,9,6,5,3,-1,-8
19,110,75,38,3,76.0,0.5,95,9,8,5,8,6,-1,0,-1,-9
20,117,83,42,11,80.0,1.0,105,10,16,9,4,3,2,1,1,-8
21,121,79,40,7,84.0,1.0,95,10,12,7,0,1,10,6,-1,-9
22,125,64,31,4,88.0,1.0,105,11,-3,-2,9,6,-2,-1,-1,-10
23,132,76,38,4,92.0,2.0,95,11,9,5,9,6,2,1,1,-9
24,134,79,40,7,96.0,0.5,105,12,12,7,0,1,1,1,1,-8
25,142,76,38,4,100.0,1.0,95,12,9,5,9,6,9,5,-1,-9
26,147,72,36,0,104.0,1.0,105,13,5,3,5,4,1,1,-1,-10
27,152,76,38,4,108.0,1.0,95,13,9,5,9,6,9,5,1,-9
28,157,72,36,0,112.0,1.0,105,14,5,3,5,4,1,1,-1,-10
29,164,66,32,6,116.0,0.5,95,14,-1,-1,11,7,-3,-2,-1,-11
30,170,67,33,7,120.0,0.5,105,15,0,0,0,1,5,3,1,-10
31,178,79,40,7,124.0,1.0,95,15,12,7,0,1,5,3,1,-9
32,183,67,33,7,128.0,0.5,105,16,0,0,0,1,-7,-4,-1,-10
33,191,79,40,7,132.0,1.0,95,16,12,7,0,1,5,3,1,-9
34,196,76,38,4,136.0,0.5,105,17,9,5,9,6,2,1,-1,-10
35,204,69,34,9,140.0,0.5,95,17,2,1,2,2,-3,-2,-1,-11
36,212,62,30,2,144.0,0.5,105,18,-5,-3,7,5,-4,-2,-1,-12
37,220,71,35,11,148.0,0.5,95,18,4,2,4,3,2,1,1,-11
38,227,74,37,2,152.0,0.5,105,19,7,4,7,5,-2,-1,1,-10
39,235,67,33,7,156.0,4.0,95,19,0,0,0,1,1,1,-1,-11
