,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,1.0,105,0,16,9,4,3,0,0,0,0
1,4,78,39,6,4.0,1.0,95,0,16,9,4,3,7,4,0,0
2,8,74,37,2,8.0,1.0,105,1,12,7,0,1,-2,-1,-1,-1
3,12,67,33,7,12.0,1.0,95,1,5,3,5,4,-4,-2,-1,-2
4,16,73,36,1,16.0,1.0,105,2,11,6,11,7,2,1,1,-1
5,20,69,34,9,20.0,1.0,95,2,7,4,7,5,-5,-3,-1,-2
6,24,69,34,9,24.0,1.0,105,3,7,4,7,5,0,0,0,-2
7,28,76,38,4,28.0,1.0,95,3,14,8,2,2,2,1,1,-1
8,32,78,39,6,32.0,1.0,105,4,16,9,4,3,2,1,1,0
9,36,78,39,6,36.0,1.0,95,4,16,9,4,3,7,4,0,0
10,40,74,37,2,40.0,1.0,105,5,12,7,0,1,-2,-1,-1,-1
11,44,67,33,7,44.0,1.0,95,5,5,3,5,4,-4,-2,-1,-2
12,48,73,36,1,48.0,1.0,105,6,11,6,11,7,2,1,1,-1
13,52,76,38,4,52.0,1.0,95,6,14,8,2,2,7,4,1,0
14,56,81,41,9,56.0,1.0,105,7,19,11,7,5,5,3,1,1
15,60,71,35,11,60.0,1.0,95,7,9,5,9,6,-2,-1,-1,0
16,64,78,39,6,64.0,1.0,105,8,16,9,4,3,2,1,1,1
17,68,78,39,6,68.0,1.0,95,8,16,9,4,3,7,4,0,1
18,72,74,37,2,72.0,1.0,105,9,12,7,0,1,-2,-1,-1,0
19,76,67,33,7,76.0,1.0,95,9,5,3,5,4,-4,-2,-1,-1
20,80,73,36,1,80.0,1.0,105,10,11,6,11,7,2,1,1,0
21,84,69,34,9,84.0,1.0,95,10,7,4,7,5,-5,-3,-1,-1
22,88,69,34,9,88.0,1.0,105,11,7,4,7,5,0,0,0,-1
23,92,76,38,4,92.0,1.0,95,11,14,8,2,2,2,1,1,0
24,96,78,39,6,96.0,1.0,105,12,16,9,4,3,2,1,1,1
25,100,78,39,6,100.0,1.0,95,12,16,9,4,3,7,4,0,1
26,104,74,37,2,104.0,1.0,105,13,12,7,0,1,-2,-1,-1,0
27,108,67,33,7,108.0,1.0,95,13,5,3,5,4,-4,-2,-1,-1
28,112,73,36,1,112.0,1.0,105,14,11,6,11,7,2,1,1,0
29,116,76,38,4,116.0,1.0,95,14,14,8,2,2,7,4,1,1
30,120,81,41,9,120.0,1.0,105,15,19,11,7,5,5,3,1,2
31,124,71,35,11,124.0,1.0,95,15,9,5,9,6,-2,-1,-1,1
32,128,78,39,6,128.0,1.0,105,16,16,9,4,3,2,1,1,2
33,132,67,33,7,132.0,1.0,95,16,5,3,5,4,-4,-2,-1,1
34,136,73,36,1,136.0,1.0,105,17,11,6,11,7,2,1,1,2
35,140,74,37,2,140.0,1.0,95,17,12,7,0,1,1,1,1,3
36,144,78,39,6,144.0,1.0,105,18,16,9,4,3,7,4,1,4
37,148,67,33,7,148.0,1.0,95,18,5,3,5,4,-4,-2,-1,3
38,152,73,36,1,152.0,1.0,105,19,11,6,11,7,2,1,1,4
39,156,71,35,11,156.0,1.0,95,19,9,5,9,6,-2,-1,-1,3
40,160,78,39,6,160.0,1.0,105,20,16,9,4,3,2,1,1,4
41,164,78,39,6,164.0,1.0,95,20,16,9,4,3,4,2,0,4
42,168,74,37,2,168.0,1.0,105,21,12,7,0,1,-2,-1,-1,3
43,172,67,33,7,172.0,1.0,95,21,5,3,5,4,-4,-2,-1,2
44,176,73,36,1,176.0,1.0,105,22,11,6,11,7,2,1,1,3
45,180,76,38,4,180.0,1.0,95,22,14,8,2,2,7,4,1,4
46,184,81,41,9,184.0,1.0,105,23,19,11,7,5,5,3,1,5
47,188,71,35,11,188.0,1.0,95,23,9,5,9,6,-2,-1,-1,4
48,192,78,39,6,192.0,1.0,105,24,16,9,4,3,2,1,1,5
49,196,67,33,7,196.0,1.0,95,24,5,3,5,4,-4,-2,-1,4
50,200,73,36,1,200.0,1.0,105,25,11,6,11,7,2,1,1,5
51,204,74,37,2,204.0,1.0,95,25,12,7,0,1,1,1,1,6
52,208,78,39,6,208.0,1.0,105,26,16,9,4,3,7,4,1,7
53,212,67,33,7,212.0,1.0,95,26,5,3,5,4,-4,-2,-1,6
54,216,73,36,1,216.0,1.0,105,27,11,6,11,7,2,1,1,7
55,220,71,35,11,220.0,1.0,95,27,9,5,9,6,-2,-1,-1,6
56,224,78,39,6,224.0,1.0,105,28,16,9,4,3,2,1,1,7
57,228,78,39,6,228.0,1.0,95,28,16,9,4,3,4,2,0,7
58,232,74,37,2,232.0,1.0,105,29,12,7,0,1,-2,-1,-1,6
59,236,67,33,7,236.0,1.0,95,29,5,3,5,4,-4,-2,-1,5
60,240,73,36,1,240.0,1.0,105,30,11,6,11,7,2,1,1,6
61,244,76,38,4,244.0,1.0,95,30,14,8,2,2,7,4,1,7
62,248,81,41,9,248.0,1.0,105,31,19,11,7,5,5,3,1,8
63,252,71,35,11,252.0,1.0,95,31,9,5,9,6,-2,-1,-1,7
