,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,4,66,32,6,4.0,0.5,105,1,-1,-1,11,7,-1,-1,1,1
2,9,62,30,2,8.0,1.0,105,2,-5,-3,7,5,-5,-3,-1,0
3,13,69,34,9,12.0,0.5,105,3,2,1,2,2,-2,-1,1,1
4,18,74,37,2,16.0,1.0,105,4,7,4,7,5,3,2,1,2
5,21,72,36,0,20.0,1.0,105,5,5,3,5,4,-4,-2,-1,1
6,24,71,35,11,24.0,1.0,105,6,4,2,4,3,-3,-2,-1,0
7,28,69,34,9,28.0,1.0,105,7,2,1,2,2,-3,-2,-1,-1
8,31,74,37,2,32.0,1.0,105,8,7,4,7,5,3,2,1,0
9,34,72,36,0,36.0,1.0,105,9,5,3,5,4,-4,-2,-1,-1
10,37,71,35,11,40.0,1.0,105,10,4,2,4,3,-3,-2,-1,-2
11,41,69,34,9,44.0,1.0,105,11,2,1,2,2,-3,-2,-1,-3
