,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,3,62,30,2,3.0,2.0,95,0,-5,-3,7,5,-9,-5,-1,-1
2,5,71,35,11,6.0,1.0,105,1,4,2,4,3,2,1,1,0
3,8,74,37,2,9.0,2.0,95,1,7,4,7,5,3,2,1,1
4,10,76,38,4,12.0,3.0,105,2,9,5,9,6,-3,-2,1,2
5,11,74,37,2,15.0,1.0,95,2,7,4,7,5,-2,-1,-1,1
6,14,67,33,7,18.0,1.0,105,3,0,0,0,1,0,0,-1,0
7,17,69,34,9,21.0,1.0,95,3,2,1,2,2,0,0,1,1
8,20,71,35,11,24.0,1.0,105,4,4,2,4,3,-1,-1,1,2
9,23,62,30,2,27.0,2.0,95,4,-5,-3,7,5,-9,-5,-1,1
10,25,71,35,11,30.0,1.0,105,5,4,2,4,3,2,1,1,2
11,28,74,37,2,33.0,2.0,95,5,7,4,7,5,3,2,1,3
12,30,76,38,4,36.0,3.0,105,6,9,5,9,6,-3,-2,1,4
13,31,74,37,2,39.0,1.0,95,6,7,4,7,5,-2,-1,-1,3
14,34,69,34,9,42.0,1.0,105,7,2,1,2,2,2,1,-1,2
15,37,67,33,7,45.0,3.0,95,7,0,0,0,1,1,1,-1,1
16,38,71,35,11,48.0,1.0,105,8,4,2,4,3,4,2,1,2
17,41,62,30,2,51.0,2.0,95,8,-5,-3,7,5,-9,-5,-1,1
18,43,71,35,11,54.0,1.0,105,9,4,2,4,3,2,1,1,2
19,46,74,37,2,57.0,2.0,95,9,7,4,7,5,3,2,1,3
20,48,76,38,4,60.0,3.0,105,10,9,5,9,6,-3,-2,1,4
21,49,74,37,2,63.0,1.0,95,10,7,4,7,5,-2,-1,-1,3
22,52,67,33,7,66.0,1.0,105,11,0,0,0,1,0,0,-1,2
23,55,69,34,9,69.0,1.0,95,11,2,1,2,2,0,0,1,3
24,58,71,35,11,72.0,1.0,105,12,4,2,4,3,-1,-1,1,4
25,61,62,30,2,75.0,2.0,95,12,-5,-3,7,5,-9,-5,-1,3
26,63,71,35,11,78.0,1.0,105,13,4,2,4,3,2,1,1,4
27,66,74,37,2,81.0,2.0,95,13,7,4,7,5,3,2,1,5
28,68,76,38,4,84.0,3.0,105,14,9,5,9,6,-3,-2,1,6
29,69,74,37,2,87.0,1.0,95,14,7,4,7,5,-2,-1,-1,5
30,72,69,34,9,90.0,1.0,105,15,2,1,2,2,2,1,-1,4
31,75,67,33,7,93.0,3.0,95,15,0,0,0,1,1,1,-1,3
32,76,76,38,4,96.0,3.0,105,16,9,5,9,6,9,5,1,4
33,77,79,40,7,99.0,3.0,95,16,12,7,0,1,3,2,1,5
34,78,74,37,2,102.0,1.0,105,17,7,4,7,5,-5,-3,-1,4
35,81,79,40,7,105.0,3.0,95,17,12,7,0,1,5,3,1,5
36,82,74,37,2,108.0,1.0,105,18,7,4,7,5,-5,-3,-1,4
37,85,76,38,4,111.0,1.0,95,18,9,5,9,6,-3,-2,1,5
38,88,69,34,9,114.0,3.0,105,19,2,1,2,2,-2,-1,-1,4
39,89,69,34,9,117.0,1.0,95,19,2,1,2,2,0,0,0,4
40,92,71,35,11,120.0,1.0,105,20,4,2,4,3,-1,-1,1,5
41,95,62,30,2,123.0,2.0,95,20,-5,-3,7,5,-9,-5,-1,4
42,97,71,35,11,126.0,1.0,105,21,4,2,4,3,2,1,1,5
43,100,74,37,2,129.0,2.0,95,21,7,4,7,5,3,2,1,6
44,102,76,38,4,132.0,3.0,105,22,9,5,9,6,-3,-2,1,7
45,103,74,37,2,135.0,1.0,95,22,7,4,7,5,-2,-1,-1,6
46,106,69,34,9,138.0,1.0,105,23,2,1,2,2,2,1,-1,5
47,109,67,33,7,141.0,3.0,95,23,0,0,0,1,1,1,-1,4
48,110,76,38,4,144.0,3.0,105,24,9,5,9,6,9,5,1,5
49,111,79,40,7,147.0,3.0,95,24,12,7,0,1,3,2,1,6
50,112,74,37,2,150.0,1.0,105,25,7,4,7,5,-5,-3,-1,5
51,115,79,40,7,153.0,3.0,95,25,12,7,0,1,5,3,1,6
52,116,74,37,2,156.0,1.0,105,26,7,4,7,5,-5,-3,-1,5
53,119,76,38,4,159.0,1.0,95,26,9,5,9,6,-3,-2,1,6
54,122,69,34,9,162.0,3.0,105,27,2,1,2,2,-2,-1,-1,5
55,123,69,34,9,165.0,1.0,95,27,2,1,2,2,0,0,0,5
56,126,71,35,11,168.0,1.0,105,28,4,2,4,3,-1,-1,1,6
57,129,62,30,2,171.0,2.0,95,28,-5,-3,7,5,-9,-5,-1,5
58,131,71,35,11,174.0,1.0,105,29,4,2,4,3,2,1,1,6
59,134,74,37,2,177.0,2.0,95,29,7,4,7,5,3,2,1,7
60,136,76,38,4,180.0,3.0,105,30,9,5,9,6,-3,-2,1,8
61,137,74,37,2,183.0,1.0,95,30,7,4,7,5,-2,-1,-1,7
62,140,69,34,9,186.0,1.0,105,31,2,1,2,2,2,1,-1,6
63,143,67,33,7,189.0,3.0,95,31,0,0,0,1,1,1,-1,5
