,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,71,0,1,105,11,0,9,2,2,0,0
1,72,1,1,105,0,1,9,3,3,1,1
2,74,2,1,80,2,2,9,5,5,1,2
3,72,3,1,80,0,-2,9,3,3,-1,1
4,71,4,1,95,11,-1,9,2,2,-1,0
5,69,5,1,80,9,-2,9,0,0,-1,-1
6,67,6,1,80,7,-2,9,-2,10,-1,-2
7,64,7,1,105,4,-3,9,-5,7,-1,-3
8,67,8,1,80,7,3,9,-2,10,1,-2
9,67,9,1,80,7,0,9,-2,10,0,-2
10,64,10,1,95,4,-3,9,-5,7,-1,-3
11,69,11,1,80,9,5,9,0,0,1,-2
12,71,12,1,80,11,2,9,2,2,1,-1
13,72,13,1,105,0,1,9,3,3,1,0
14,71,14,1,80,11,-1,9,2,2,-1,-1
15,72,15,1,80,0,1,9,3,3,1,0
16,74,16,1,95,2,2,9,5,5,1,1
17,72,17,1,80,0,-2,9,3,3,-1,0
18,74,18,1,80,2,2,9,5,5,1,1
19,76,19,1,105,4,2,9,7,7,1,2
20,79,20,1,80,7,3,9,10,10,1,3
21,81,21,1,80,9,2,9,12,0,1,4
22,79,22,1,95,7,-2,9,10,10,-1,3
23,76,23,1,80,4,-3,9,7,7,-1,2
24,74,24,1,80,2,-2,9,5,5,-1,1
25,72,25,1,105,0,-2,9,3,3,-1,0
26,74,26,1,80,2,2,9,5,5,1,1
27,72,27,1,80,0,-2,9,3,3,-1,0
28,71,28,1,95,11,-1,9,2,2,-1,-1
29,69,29,1,80,9,-2,9,0,0,-1,-2
30,67,30,1,80,7,-2,9,-2,10,-1,-3
31,64,31,1,105,4,-3,9,-5,7,-1,-4
32,67,32,1,80,7,3,9,-2,10,1,-3
33,67,33,1,80,7,0,9,-2,10,0,-3
34,64,34,1,95,4,-3,9,-5,7,-1,-4
35,69,35,1,80,9,5,9,0,0,1,-3
36,71,36,1,80,11,2,9,2,2,1,-2
37,72,37,1,105,0,1,9,3,3,1,-1
38,76,38,1,80,4,4,9,7,7,1,0
39,72,39,1,80,0,-4,9,3,3,-1,-1
40,74,40,1,95,2,2,9,5,5,1,0
41,71,41,1,80,11,-3,9,2,2,-1,-1
42,67,42,1,80,7,-4,9,-2,10,-1,-2
43,71,43,1,105,11,4,9,2,2,1,-1
44,69,44,1,80,9,-2,9,0,0,-1,-2
45,69,45,1,80,9,0,9,0,0,0,-2
46,69,46,2,95,9,0,9,0,0,0,-2
47,71,48,1,80,11,2,9,2,2,1,-1
48,72,49,1,105,0,1,9,3,3,1,0
