,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,66,0,2,105,6,0,2,4,4,0,0
1,64,2,1,80,4,-2,2,2,2,-1,-1
2,66,3,1,80,6,2,2,4,4,1,0
3,66,4,1,95,6,0,2,4,4,0,0
4,64,5,1,80,4,-2,2,2,2,-1,-1
5,62,6,1,80,2,-2,2,0,0,-1,-2
6,64,7,1,80,4,2,2,2,2,1,-1
7,66,8,1,105,6,2,2,4,4,1,0
8,69,9,1,80,9,3,2,7,7,1,1
9,69,10,1,80,9,0,2,7,7,0,1
10,71,11,1,80,11,2,2,9,9,1,2
11,69,12,1,95,9,-2,2,7,7,-1,1
12,66,13,1,80,6,-3,2,4,4,-1,0
13,64,14,1,80,4,-2,2,2,2,-1,-1
14,62,15,1,80,2,-2,2,0,0,-1,-2
15,74,16,2,105,2,12,2,12,0,1,-1
16,76,18,1,80,4,2,2,14,2,1,0
17,79,19,1,80,7,3,2,17,5,1,1
18,78,20,1,95,6,-1,2,16,4,-1,0
19,74,21,1,80,2,-4,2,12,0,-1,-1
20,76,22,1,80,4,2,2,14,2,1,0
21,73,23,1,80,1,-3,2,11,11,-1,-1
22,74,24,1,105,2,1,2,12,0,1,0
23,71,25,1,80,11,-3,2,9,9,-1,-1
24,69,26,1,80,9,-2,2,7,7,-1,-2
25,66,27,1,80,6,-3,2,4,4,-1,-3
26,71,28,1,95,11,5,2,9,9,1,-2
27,64,29,1,80,4,-7,2,2,2,-1,-3
28,64,30,1,80,4,0,2,2,2,0,-3
29,67,31,1,80,7,3,2,5,5,1,-2
30,66,32,2,105,6,-1,2,4,4,-1,-3
31,64,34,1,80,4,-2,2,2,2,-1,-4
32,66,35,1,80,6,2,2,4,4,1,-3
33,66,36,1,95,6,0,2,4,4,0,-3
34,64,37,1,80,4,-2,2,2,2,-1,-4
35,62,38,1,80,2,-2,2,0,0,-1,-5
36,64,39,1,80,4,2,2,2,2,1,-4
37,66,40,1,105,6,2,2,4,4,1,-3
38,69,41,1,80,9,3,2,7,7,1,-2
39,69,42,1,80,9,0,2,7,7,0,-2
40,71,43,1,80,11,2,2,9,9,1,-1
41,69,44,1,95,9,-2,2,7,7,-1,-2
42,66,45,1,80,6,-3,2,4,4,-1,-3
43,64,46,1,80,4,-2,2,2,2,-1,-4
44,62,47,1,80,2,-2,2,0,0,-1,-5
45,74,48,2,105,2,12,2,12,0,1,-4
46,76,50,1,80,4,2,2,14,2,1,-3
47,79,51,1,80,7,3,2,17,5,1,-2
48,78,52,1,95,6,-1,2,16,4,-1,-3
49,74,53,1,80,2,-4,2,12,0,-1,-4
50,76,54,1,80,4,2,2,14,2,1,-3
51,73,55,1,80,1,-3,2,11,11,-1,-4
52,74,56,1,105,2,1,2,12,0,1,-3
53,71,57,1,80,11,-3,2,9,9,-1,-4
54,69,58,1,80,9,-2,2,7,7,-1,-5
55,67,59,1,80,7,-2,2,5,5,-1,-6
56,66,60,1,95,6,-1,2,4,4,-1,-7
57,62,61,1,80,2,-4,2,0,0,-1,-8
58,62,62,1,80,2,0,2,0,0,0,-8
59,64,63,1,80,4,2,2,2,2,1,-7
60,66,64,2,105,6,2,2,4,4,1,-6
61,64,66,1,80,4,-2,2,2,2,-1,-7
62,66,67,1,80,6,2,2,4,4,1,-6
63,66,68,1,95,6,0,2,4,4,0,-6
64,64,69,1,80,4,-2,2,2,2,-1,-7
65,62,70,1,80,2,-2,2,0,0,-1,-8
66,64,71,1,80,4,2,2,2,2,1,-7
67,66,72,1,105,6,2,2,4,4,1,-6
68,69,73,1,80,9,3,2,7,7,1,-5
69,69,74,1,80,9,0,2,7,7,0,-5
70,71,75,1,80,11,2,2,9,9,1,-4
71,69,76,1,95,9,-2,2,7,7,-1,-5
72,66,77,1,80,6,-3,2,4,4,-1,-6
73,64,78,1,80,4,-2,2,2,2,-1,-7
74,62,79,1,80,2,-2,2,0,0,-1,-8
75,74,80,2,105,2,12,2,12,0,1,-7
76,76,82,1,80,4,2,2,14,2,1,-6
77,79,83,1,80,7,3,2,17,5,1,-5
78,78,84,1,95,6,-1,2,16,4,-1,-6
79,74,85,1,80,2,-4,2,12,0,-1,-7
80,76,86,1,80,4,2,2,14,2,1,-6
81,73,87,1,80,1,-3,2,11,11,-1,-7
82,74,88,1,105,2,1,2,12,0,1,-6
83,71,89,1,80,11,-3,2,9,9,-1,-7
84,69,90,1,80,9,-2,2,7,7,-1,-8
85,66,91,1,80,6,-3,2,4,4,-1,-9
86,71,92,1,95,11,5,2,9,9,1,-8
87,64,93,1,80,4,-7,2,2,2,-1,-9
88,64,94,1,80,4,0,2,2,2,0,-9
89,67,95,1,80,7,3,2,5,5,1,-8
90,66,96,2,105,6,-1,2,4,4,-1,-9
91,64,98,1,80,4,-2,2,2,2,-1,-10
92,66,99,1,80,6,2,2,4,4,1,-9
93,66,100,1,95,6,0,2,4,4,0,-9
94,64,101,1,80,4,-2,2,2,2,-1,-10
95,62,102,1,80,2,-2,2,0,0,-1,-11
96,64,103,1,80,4,2,2,2,2,1,-10
97,66,104,1,105,6,2,2,4,4,1,-9
98,69,105,1,80,9,3,2,7,7,1,-8
99,69,106,1,80,9,0,2,7,7,0,-8
100,71,107,1,80,11,2,2,9,9,1,-7
101,69,108,1,95,9,-2,2,7,7,-1,-8
102,66,109,1,80,6,-3,2,4,4,-1,-9
103,64,110,1,80,4,-2,2,2,2,-1,-10
104,62,111,1,80,2,-2,2,0,0,-1,-11
105,74,112,2,105,2,12,2,12,0,1,-10
106,76,114,1,80,4,2,2,14,2,1,-9
107,79,115,1,80,7,3,2,17,5,1,-8
108,78,116,1,95,6,-1,2,16,4,-1,-9
109,74,117,1,80,2,-4,2,12,0,-1,-10
110,76,118,1,80,4,2,2,14,2,1,-9
111,73,119,1,80,1,-3,2,11,11,-1,-10
112,74,120,1,105,2,1,2,12,0,1,-9
113,71,121,1,80,11,-3,2,9,9,-1,-10
114,69,122,1,80,9,-2,2,7,7,-1,-11
115,67,123,1,80,7,-2,2,5,5,-1,-12
116,66,124,1,95,6,-1,2,4,4,-1,-13
117,62,125,1,80,2,-4,2,0,0,-1,-14
118,62,126,1,80,2,0,2,0,0,0,-14
119,64,127,1,80,4,2,2,2,2,1,-13
120,74,128,2,105,2,10,2,12,0,1,-12
121,69,130,1,80,9,-5,2,7,7,-1,-13
122,67,131,1,80,7,-2,2,5,5,-1,-14
123,66,132,1,95,6,-1,2,4,4,-1,-15
124,62,133,1,80,2,-4,2,0,0,-1,-16
125,66,134,1,80,6,4,2,4,4,1,-15
126,69,135,1,80,9,3,2,7,7,1,-14
127,74,136,1,105,2,5,2,12,0,1,-13
128,78,137,1,80,6,4,2,16,4,1,-12
129,81,138,1,80,9,3,2,19,7,1,-11
130,78,139,1,80,6,-3,2,16,4,-1,-12
131,79,140,1,95,7,1,2,17,5,1,-11
132,78,141,1,80,6,-1,2,16,4,-1,-12
133,76,142,1,80,4,-2,2,14,2,-1,-13
134,78,143,1,80,6,2,2,16,4,1,-12
135,78,144,0,105,6,0,2,16,4,0,-12
136,81,144,0,80,9,3,2,19,7,1,-11
137,78,145,1,80,6,-3,2,16,4,-1,-12
138,74,146,1,80,2,-4,2,12,0,-1,-13
139,78,147,1,80,6,4,2,16,4,1,-12
140,76,148,2,95,4,-2,2,14,2,-1,-13
141,73,150,1,80,1,-3,2,11,11,-1,-14
142,76,151,1,80,4,3,2,14,2,1,-13
143,74,152,1,105,2,-2,2,12,0,-1,-14
144,78,153,1,80,6,4,2,16,4,1,-13
145,76,154,1,80,4,-2,2,14,2,-1,-14
146,74,155,1,80,2,-2,2,12,0,-1,-15
147,73,156,1,95,1,-1,2,11,11,-1,-16
148,69,157,1,80,9,-4,2,7,7,-1,-17
149,74,158,1,80,2,5,2,12,0,1,-16
150,69,159,1,80,9,-5,2,7,7,-1,-17
151,71,160,2,105,11,2,2,9,9,1,-16
152,67,162,1,80,7,-4,2,5,5,-1,-17
153,71,163,1,80,11,4,2,9,9,1,-16
154,69,164,1,95,9,-2,2,7,7,-1,-17
155,62,165,1,80,2,-7,2,0,0,-1,-18
156,66,166,1,80,6,4,2,4,4,1,-17
157,69,167,1,80,9,3,2,7,7,1,-16
158,74,168,1,105,2,5,2,12,0,1,-15
159,78,169,1,80,6,4,2,16,4,1,-14
160,81,170,1,80,9,3,2,19,7,1,-13
161,78,171,1,80,6,-3,2,16,4,-1,-14
162,79,172,1,95,7,1,2,17,5,1,-13
163,78,173,1,80,6,-1,2,16,4,-1,-14
164,76,174,1,80,4,-2,2,14,2,-1,-15
165,73,175,1,80,1,-3,2,11,11,-1,-16
166,74,176,1,105,2,1,2,12,0,1,-15
167,78,177,1,80,6,4,2,16,4,1,-14
168,76,178,1,80,4,-2,2,14,2,-1,-15
169,73,179,1,80,1,-3,2,11,11,-1,-16
170,74,180,1,95,2,1,2,12,0,1,-15
171,73,181,1,80,1,-1,2,11,11,-1,-16
172,69,182,1,80,9,-4,2,7,7,-1,-17
173,67,183,1,80,7,-2,2,5,5,-1,-18
174,66,184,1,105,6,-1,2,4,4,-1,-19
175,69,185,1,80,9,3,2,7,7,1,-18
176,64,186,1,80,4,-5,2,2,2,-1,-19
177,66,187,1,80,6,2,2,4,4,1,-18
178,62,188,4,95,2,-4,2,0,0,-1,-19
179,74,192,2,105,2,12,2,12,0,1,-18
180,69,194,1,80,9,-5,2,7,7,-1,-19
181,67,195,1,80,7,-2,2,5,5,-1,-20
182,66,196,1,95,6,-1,2,4,4,-1,-21
183,62,197,1,80,2,-4,2,0,0,-1,-22
184,66,198,1,80,6,4,2,4,4,1,-21
185,69,199,1,80,9,3,2,7,7,1,-20
186,74,200,1,105,2,5,2,12,0,1,-19
187,78,201,1,80,6,4,2,16,4,1,-18
188,81,202,1,80,9,3,2,19,7,1,-17
189,78,203,1,80,6,-3,2,16,4,-1,-18
190,79,204,1,95,7,1,2,17,5,1,-17
191,78,205,1,80,6,-1,2,16,4,-1,-18
192,76,206,1,80,4,-2,2,14,2,-1,-19
193,78,207,1,80,6,2,2,16,4,1,-18
194,78,208,0,105,6,0,2,16,4,0,-18
195,81,208,0,80,9,3,2,19,7,1,-17
196,78,209,1,80,6,-3,2,16,4,-1,-18
197,74,210,1,80,2,-4,2,12,0,-1,-19
198,78,211,1,80,6,4,2,16,4,1,-18
199,76,212,2,95,4,-2,2,14,2,-1,-19
200,73,214,1,80,1,-3,2,11,11,-1,-20
201,76,215,1,80,4,3,2,14,2,1,-19
202,74,216,1,105,2,-2,2,12,0,-1,-20
203,78,217,1,80,6,4,2,16,4,1,-19
204,76,218,1,80,4,-2,2,14,2,-1,-20
205,74,219,1,80,2,-2,2,12,0,-1,-21
206,73,220,1,95,1,-1,2,11,11,-1,-22
207,69,221,1,80,9,-4,2,7,7,-1,-23
208,74,222,1,80,2,5,2,12,0,1,-22
209,69,223,1,80,9,-5,2,7,7,-1,-23
210,71,224,2,105,11,2,2,9,9,1,-22
211,67,226,1,80,7,-4,2,5,5,-1,-23
212,71,227,1,80,11,4,2,9,9,1,-22
213,69,228,1,95,9,-2,2,7,7,-1,-23
214,62,229,1,80,2,-7,2,0,0,-1,-24
215,66,230,1,80,6,4,2,4,4,1,-23
216,69,231,1,80,9,3,2,7,7,1,-22
217,74,232,1,105,2,5,2,12,0,1,-21
218,78,233,1,80,6,4,2,16,4,1,-20
219,81,234,1,80,9,3,2,19,7,1,-19
220,78,235,1,80,6,-3,2,16,4,-1,-20
221,79,236,1,95,7,1,2,17,5,1,-19
222,78,237,1,80,6,-1,2,16,4,-1,-20
223,76,238,1,80,4,-2,2,14,2,-1,-21
224,73,239,1,80,1,-3,2,11,11,-1,-22
225,74,240,1,105,2,1,2,12,0,1,-21
226,78,241,1,80,6,4,2,16,4,1,-20
227,76,242,1,80,4,-2,2,14,2,-1,-21
228,73,243,1,80,1,-3,2,11,11,-1,-22
229,74,244,1,95,2,1,2,12,0,1,-21
230,73,245,1,80,1,-1,2,11,11,-1,-22
231,69,246,1,80,9,-4,2,7,7,-1,-23
232,67,247,1,80,7,-2,2,5,5,-1,-24
233,66,248,1,105,6,-1,2,4,4,-1,-25
234,69,249,1,80,9,3,2,7,7,1,-24
235,64,250,1,80,4,-5,2,2,2,-1,-25
236,66,251,1,80,6,2,2,4,4,1,-24
237,62,252,4,95,2,-4,2,0,0,-1,-25
