eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,76,7,105
1,74,5,105
2,67,10,80
3,67,10,80
4,74,5,95
5,74,5,95
6,67,10,80
7,71,2,80
8,74,5,80
9,74,5,105
10,67,10,80
11,67,10,80
12,76,7,95
13,76,7,95
14,78,9,80
15,79,10,80
16,76,7,80
17,74,5,105
18,67,10,80
19,67,10,80
20,74,5,95
21,74,5,95
22,67,10,80
23,71,2,80
24,74,5,80
25,76,7,105
26,79,10,80
27,74,5,80
28,71,2,80
29,71,2,95
30,69,0,80
31,69,0,80
32,76,7,80
33,74,5,105
34,67,10,80
35,67,10,80
36,74,5,95
37,74,5,95
38,67,10,80
39,71,2,80
40,74,5,80
41,74,5,105
42,67,10,80
43,67,10,80
44,76,7,95
45,76,7,95
46,78,9,80
47,79,10,80
48,76,7,80
49,74,5,105
50,67,10,80
51,67,10,80
52,74,5,95
53,74,5,95
54,67,10,80
55,71,2,80
56,74,5,80
57,76,7,105
58,79,10,80
59,74,5,80
60,71,2,80
61,71,2,95
62,69,0,80
63,69,0,80
64,79,10,80
65,78,9,105
66,81,0,80
67,81,0,80
68,78,9,80
69,79,10,95
70,76,7,80
71,76,7,80
72,76,7,80
73,74,5,105
74,76,7,80
75,74,5,80
76,71,2,80
77,74,5,95
78,76,7,80
79,78,9,80
80,79,10,80
81,78,9,105
82,81,0,80
83,81,0,80
84,78,9,80
85,79,10,95
86,76,7,80
87,76,7,80
88,76,7,80
89,74,5,105
90,71,2,80
91,79,10,80
92,71,2,80
93,71,2,95
94,69,0,80
95,69,0,80
96,79,10,80
97,78,9,105
98,81,0,80
99,81,0,80
100,78,9,80
101,79,10,95
102,79,10,80
103,79,10,80
104,76,7,80
105,74,5,105
106,76,7,80
107,74,5,80
108,71,2,80
109,74,5,95
110,76,7,80
111,79,10,80
112,81,0,80
113,83,2,105
114,81,0,80
115,79,10,80
116,83,2,80
117,81,0,95
118,78,9,80
119,79,10,80
120,76,7,80
121,74,5,105
122,71,2,80
123,79,10,80
124,71,2,80
125,71,2,95
126,69,0,80
127,69,0,80
